path,block,parcel,source_page_number
B12/B12_P30__photo2.jpg,12,30,176
B13/B13_P1__photo1.jpg,13,1,180
B13/B13_P1__photo2.jpg,13,1,180
B13/B13_P2__photo1.jpg,13,2,182
B13/B13_P2__photo2.jpg,13,2,182
B13/B13_P3__photo1.jpg,13,3,186
B13/B13_P3__photo2.jpg,13,3,186
B13/B13_P3__photo3.jpg,13,3,186
B14/B14_P1__photo1.jpg,14,1,190
B14/B14_P1__photo2.jpg,14,1,190
B14/B14_P1__photo3.jpg,14,1,192
B14/B14_P1__photo4.jpg,14,1,192
B14/B14_P1__photo5.jpg,14,1,194
B14/B14_P1__photo6.jpg,14,1,194
B14/B14_P2__photo1.jpg,14,2,198
B14/B14_P2__photo2.jpg,14,2,198
B14/B14_P3__photo1.jpg,14,3,202
B14/B14_P3__photo2.jpg,14,3,202
B14/B14_P4__photo1.jpg,14,4,206
B14/B14_P4__photo2.jpg,14,4,206
B14/B14_P5P6__photo1.jpg,14,"5,6",212
B14/B14_P5P6__photo2.jpg,14,"5,6",212
B14/B14_P7__photo1.jpg,14,7,215
B14/B14_P7__photo2.jpg,14,7,215
B14/B14_P7__photo3.jpg,14,7,215
B14/B14_P8__photo1.jpg,14,8,219
B14/B14_P8__photo2.jpg,14,8,219
B14/B14_P9__photo1.jpg,14,9,221
B14/B14_P9__photo2.jpg,14,9,221
B14/B14_P10__photo1.jpg,14,10,225
B14/B14_P10__photo2.jpg,14,10,225
B14/B14_P10__photo3.jpg,14,10,227
B14/B14_P10__photo4.jpg,14,10,227
B15/B15_P2__photo1.jpg,15,2,235
B15/B15_P2__photo2.jpg,15,2,235
B15/B15_P2__photo3.jpg,15,2,238
B15/B15_P2__photo4.jpg,15,2,238
B15/B15_P2__photo5.jpg,15,2,241
B15/B15_P2__photo6.jpg,15,2,243
B15/B15_P2__photo7.jpg,15,2,244
B15/B15_P2__photo8.jpg,15,2,244
B15/B15_P2__photo9.jpg,15,2,244
B15/B15_P2__photo10.jpg,15,2,246
