path,block,parcel,source_page_number
B14/B14_P1__photo3.jpg,14,1,16
B14/B14_P2__photo1.jpg,14,2,19
B14/B14_P3__photo1.jpg,14,3,22
B14/B14_P4__photo1.jpg,14,4,26
B14/B14_P5__photo1.jpg,14,5,30
B14/B14_P6__photo1.jpg,14,6,33
B14/B14_P7__photo1.jpg,14,7,36
B14/B14_P8__photo1.jpg,14,8,40
B14/B14_P9__photo1.jpg,14,9,43
B14/B14_P10__photo1.jpg,14,10,46
B14/B14_P10__photo2.jpg,14,10,49
B15/B15_P2__photo1.jpg,15,2,10
B15/B15_P2__photo2.jpg,15,2,10
B15/B15_P2__photo3.jpg,15,2,11
B15/B15_P2__photo4.jpg,15,2,11
B15/B15_P2__photo5.jpg,15,2,12
B16/B16_P1__photo1.jpg,16,1,15
B16/B16_P2__photo1.jpg,16,2,18
B16/B16_P4__photo1.jpg,16,4,21
B16/B16_P4__photo2.jpg,16,4,24
B16/B16_P7__photo1.jpg,16,7,27
B16/B16_P8__photo1.jpg,16,8,30
B16/B16_P9__photo1.jpg,16,9,33
B16/B16_P10__photo1.jpg,16,10,36
B17/B17_P1__photo1.jpg,17,1,1
B17/B17_P2__photo1.jpg,17,2,4
B17/B17_P3__photo1.jpg,17,3,7
B17/B17_P5__photo1.jpg,17,5,10
B17/B17_P5__photo2.jpg,17,5,11
B17/B17_P5__photo3.jpg,17,5,20
B17/B17_P5__photo4.jpg,17,5,20
B18/B18_P1__photo1.jpg,18,1,28
B18/B18_P2P3__photo1.jpg,18,"2,3",29
B18/B18_P2P3__photo2.jpg,18,"2,3",29
B18/B18_P2P3__photo3.jpg,18,"2,3",30
B18/B18_P2P3__photo4.jpg,18,"2,3",30
B18/B18_P6__photo1.jpg,18,6,34
B18/B18_P7__photo1.jpg,18,7,38
B19/B19_P1__photo1.jpg,19,1,2
B19/B19_P2__photo1.jpg,19,2,7
B19/B19_P3__photo1.jpg,19,3,11
B19/B19_P4__photo1.jpg,19,4,14
B19/B19_P4__photo2.jpg,19,4,17
B19/B19_P6__photo1.jpg,19,6,20
B19/B19_P7__photo1.jpg,19,7,23
B19/B19_P8__photo1.jpg,19,8,25
B19/B19_P9__photo1.jpg,19,9,28
B19/B19_P9__photo2.jpg,19,9,31
B19/B19_P10__photo1.jpg,19,10,35
B19/B19_P11__photo1.jpg,19,11,41
B19/B19_P12__photo1.jpg,19,12,47
B19/B19_P13__photo1.jpg,19,13,53
B19/B19_P13__photo2.jpg,19,13,56
B20/B20_P1__photo1.jpg,20,1,2
B20/B20_P2__photo1.jpg,20,2,5
B20/B20_P2__photo2.jpg,20,2,8
B20/B20_P3__photo1.jpg,20,3,12
B20/B20_P4__photo1.jpg,20,4,15
B20/B20_P5__photo1.jpg,20,5,18
B20/B20_P6__photo1.jpg,20,6,23
B20/B20_P7__photo1.jpg,20,7,26
B20/B20_P8__photo1.jpg,20,8,30
B20/B20_P9__photo1.jpg,20,9,34
B20/B20_P10__photo1.jpg,20,10,38
B21/B21_P1__photo1.jpg,21,1,42
B21/B21_P2__photo1.jpg,21,2,45
B21/B21_P3__photo1.jpg,21,3,50
B21/B21_P5__photo1.jpg,21,5,54
B21/B21_P5__photo2.jpg,21,5,57
B21/B21_P5__photo3.jpg,21,5,60
B21/B21_P6__photo1.jpg,21,6,64
B22/B22_P1__photo1.jpg,22,1,2
B22/B22_P2__photo1.jpg,22,2,7
B22/B22_P2__photo2.jpg,22,2,9
B22/B22_P3__photo1.jpg,22,3,13
B22/B22_P4__photo1.jpg,22,4,16
B22/B22_P5__photo1.jpg,22,5,21
B22/B22_P5A__photo1.jpg,22,5A,24
B22/B22_P6__photo1.jpg,22,6,27
B22/B22_P7__photo1.jpg,22,7,31
B22/B22_P8__photo1.jpg,22,8,34
B22/B22_P9__photo1.jpg,22,9,38
B22/B22_P9__photo2.jpg,22,9,40
B23/B23_P1__photo1.jpg,23,1,1
B23/B23_P5__photo1.jpg,23,5,4
B24/B24_P1__photo1.jpg,24,1,8
B24/B24_P2__photo1.jpg,24,2,11
B24/B24_P4__photo1.jpg,24,4,15
B24/B24_P3__photo1.jpg,24,3,18
B24/B24_P6__photo1.jpg,24,6,22
