path,block,parcel
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B2/B2_P12__photo1.jpg,B2,P12
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P1__photo1.jpg,B3,P1
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P2A__photo1.jpg,B3,P2A
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P3__photo1.jpg,B3,P3
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P3__photo2.jpg,B3,P3
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P3__photo3.jpg,B3,P3
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P3__photo4.jpg,B3,P3
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P4__photo1.jpg,B3,P4
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P5__photo1.jpg,B3,P5
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P6__photo1.jpg,B3,P6
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P7__photo1.jpg,B3,P7
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P8__photo1.jpg,B3,P8
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P9__photo1.jpg,B3,P9
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P10__photo1.jpg,B3,P10
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P11__photo1.jpg,B3,P11
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P12__photo1.jpg,B3,P12
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P12__photo2.jpg,B3,P12
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P14__photo1.jpg,B3,P14
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P15__photo1.jpg,B3,P15
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P16__photo1.jpg,B3,P16
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P17__photo1.jpg,B3,P17
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P18__photo1.jpg,B3,P18
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P19__photo1.jpg,B3,P19
https://raw.githubusercontent.com/communitymaplab/athens-r51-property-appraisal-photos/refs/heads/main/pipeline/data/Bradberry%20appraisals%201962/processed/B3/B3_P20__photo1.jpg,B3,P20
